Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Labels,Sprint
Epic,E1 Restore a Working Build,server.js cannot start; the mapper and every maintenance script were deleted at 094dde1.,E1 Restore a Working Build,,,Highest,blocker,
Epic,E2 Stop Data Loss,Six documented paths silently discard user work.,E2 Stop Data Loss,,,Highest,data-loss,
Epic,E3 Regression Safety Net,Zero automated tests exist against a transactional multi-store write path.,E3 Regression Safety Net,,,High,foundation,
Epic,E4 Persistence Hardening,A new persisted field needs four correct registrations or it vanishes silently.,E4 Persistence Hardening,,,High,architecture,
Epic,E5 Money Correctness,Documented 17x cost overstatement plus VAT/WHT/void gaps.,E5 Money Correctness,,,High,money,
Epic,E6 Purge Seed Mutations from Production,Demo seeders rewrite real agent data on every boot.,E6 Purge Seed Mutations from Production,,,High,data-integrity,
Epic,E7 Runtime Errors and Timezone,A known thrown exception in the agent UI plus toISOString date drift.,E7 Runtime Errors and Timezone,,,Medium,correctness,
Epic,E8 Permission Model Coherence,Edit-area gates disagree between callers and callees.,E8 Permission Model Coherence,,,High,security,
Epic,E9 Documentation Truth,Twelve documented drift items; the cited history file does not exist.,E9 Documentation Truth,,,Medium,docs,
Epic,E10 Observability and Drift Detection,Drift checks exist as endpoints but their tooling was deleted.,E10 Observability and Drift Detection,,,Medium,observability,
Epic,E11 Modularize allotment_v2.html,83629 lines in one file with one global scope.,E11 Modularize allotment_v2.html,,,Medium,architecture,
Epic,E12 Multi-day and OVN Correctness,bk.ops is day-1-only; every OVN bug traces to direct access.,E12 Multi-day and OVN Correctness,,,High,correctness,
Epic,E13 Fleet Data Integrity,Four writers bypass flSave(); the snapshot safety system is dead.,E13 Fleet Data Integrity,,,Medium,data-integrity,
Epic,E14 Performance and Load Path,"Whole-blob load, brotli-tuned cache, synchronous render assumptions.",E14 Performance and Load Path,,,Low,performance,
Story,S1-01 Restore os-backend and db/migrations,"server.js:34-35 unconditionally requires ./os-backend/src/mapping/os_repo.js; commit 094dde1 deleted that tree (83 files). The require is at module top level so it fires in blob mode too. Verified: node -e require('./server.js') fails with Cannot find module. AC: clean clone + npm ci + npm start serves without throwing. NOTE: if the deletion was deliberate this story becomes 'inline the mapper' and re-estimates to 13. Source: docs/workflows/07 section 0.",,E1 Restore a Working Build,3,Highest,blocker,Sprint 1
Story,S1-02 CI boot smoke test,"Nothing in the repo would have caught S1-01. CI job runs require('./server.js') and one /api/version request against a scratch DB, required to merge, failing if map.* or db.* drift counters are non-zero or mig.failed/mig.pending > 0. Source: docs/workflows/07 sections 0 and 10.18.",,E1 Restore a Working Build,3,Highest,ci,Sprint 1
Story,S1-03 Fix the accounting/operations permission gate,"sbInvoicesPersist:42846 gates on laCanEditArea('accounting') but calls acctPersistBookings:42877 gated on 'operations'. An accounting-only user's invoice saves while the linked booking's invoiceId/paymentStatus/history stay in RAM and are lost on refresh. Same shape: ckPersist accepts 'pier', acctPersistBookings does not. AC: an accounting-only user creates an invoice, reloads, booking still shows invoiced. Add a test that no persist helper may call another with a stricter area. Source: docs/workflows/06 section 10.1 and 03 section 9.8.",,E2 Stop Data Loss,5,Highest,data-loss,Sprint 1
Story,S1-04 Weather reschedule must clear bk.ops,"bkV2WeatherResolveOne:60032 moves trip.date without clearing bk.ops boat/van/check-in. bkV2RescheduleBooking:77572 and the edit-path date change :76886 both clear it, so a weather-rescheduled booking silently keeps the previous day's boat and van. Reuse the existing clear rather than writing a third variant; respect bkOpsRead/bkOpsFor per-day semantics. Source: docs/workflows/01 section 7.",,E2 Stop Data Loss,3,Highest,data-loss,Sprint 1
Story,S1-05 Partial cancel must return seat-lock draws,"bkV2PartialCancel:77728 reduces pax and money but never returns the corresponding trips[].lockDraws and never touches the invoice. lockDraws (not the used counter) is the source of truth for lock usage, so seats stay consumed against getAllotment forever. Flag the invoice as needing adjustment; do not auto-edit money. Source: docs/workflows/01 sections 7 and 7.6.",,E2 Stop Data Loss,5,High,data-loss,Sprint 1
Story,S1-06 Fix esc undefined in the rate-type picker,"allotment_v2.html:63867 inside agEditBuildRateTypePicker calls a bare esc(...) in the branch taken whenever the agent has a sales owner. No global esc exists in this file, so the picker throws and renders nothing for most agents. Add a local const esc per file convention and grep every top-level render fn for the same class. Source: docs/workflows/02 section 9.20.",,E7 Runtime Errors and Timezone,2,High,bug,Sprint 1
Story,S1-07 Spike - catalogue every unpersisted write,"Four documented instances and likely more: SB_ADDON_SVCS/aosSaveModal:79018 never reads or writes the blob yet a.addonServices[].svcId points into it; ctRenewActivate:65317 mutates contract version/history without sbAgentsPersist(); flSaveAssignment, flCancelAssignment, flAutoUpdateAssignments and fuelSetBudget write localStorage directly instead of via flSave(). Output is a table (mutation site / store / persisted? / lost on reload?) ranked by blast radius - a document, not a fix. Source: docs/workflows/02 sections 9.11 and 9.21, 05 section 10.19.",,E2 Stop Data Loss,5,High,spike,Sprint 1
Story,S1-08 Stand up the test harness,"No test framework is wired for the areas that matter; db/test_seat_lock_race.mjs and db/rt.cjs exist but are not a suite. Needs a runner in CI, ephemeral Postgres per run provisioned from db/migrations (depends on S1-01), one end-to-end proof creating a booking through the real write path and asserting the row in Postgres, and a fixture helper that builds a booking without the DOM.",,E3 Regression Safety Net,8,Highest,foundation,Sprint 1
Story,S1-09 ARCHITECTURE.md pointing at the workflow docs,"CLAUDE.md cites CHANGELOG.md six times; it does not exist and was never tracked in git. README.md says data lives in localStorage - the opposite of the truth - and documents APP_USER/APP_PASS while server.js:19-20 reads ADMIN_USER/ADMIN_PASS. Also fix the start_server.command path and state that it gives you no /api. Source: docs/workflows/07 section 10 drift table.",,E9 Documentation Truth,2,Medium,docs,Sprint 1
Story,S1-10 Backup and restore drill,"flListSnapshots()/flRestoreSnapshot(N) are listed in CLAUDE.md section 4 as a live safety system and are dead on the real dataset. Verify the Railway Postgres backup exists and is current, restore into a scratch database, boot the app against it, and write the runbook. If snapshots are truly dead, remove the claim from CLAUDE.md. Source: docs/workflows/07 section 9.7.",,E1 Restore a Working Build,3,Highest,safety,Sprint 1
Story,S2-01 Regression suite for the edit-preserve block,"bkV2CommitBooking rebuilds newBk from the form; anything not copied in the if(editing) block at :76855 is destroyed. Carry-overs required: history, weatherResolve, rebook, invoiceId, paymentStatus, ops, b2cOverride, upgrades, feeItems, reschedule, partialCancels, cancellation, cancelCategory, resolved approval, decided focApproval. Losing ops once already wiped every boat/van assignment. One test per field, data-driven from a single list; delete a carry-over line and confirm the suite goes red. Source: docs/workflows/01 section 7.1.",,E3 Regression Safety Net,8,Highest,test,Sprint 2
