Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Labels,Sprint
"Epic","R0 Foundation & Platform","Monorepo, Fastify skeleton, auth for four consumer classes, migration tooling, production schema baseline and characterization fixtures. Blocks all booking work.","R0 Foundation & Platform","","","Highest","rewrite,foundation",""
"Epic","R1 Booking Data & API","Relational booking aggregate with real foreign keys, data migration from the current store, availability view, the server-side guard gauntlet and the write API.","R1 Booking Data & API","","","Highest","rewrite,booking,api",""
"Epic","R2 Booking Frontend","React SPA screens replacing the booking view of allotment_v2.html: calendar, manifest, form, action modals, seat locks.","R2 Booking Frontend","","","High","rewrite,booking,frontend",""
"Epic","R3 Strangle & Cutover","The bridge that keeps fleet, boat ops and vans working while booking is served by the new API, then the cutover and rollback runbook.","R3 Strangle & Cutover","","","High","rewrite,booking,cutover",""
"Story","P0-00 Restore the monolith build (os-backend + db/migrations)","server.js:34-35 requires ./os-backend/src/mapping/os_repo.js, deleted at 094dde1. The require is top-level so it fires in blob mode too. Fix: git checkout HEAD~1 -- os-backend db/migrations. The strangler needs a running monolith. Same as S1-01 in MODERNIZATION_BACKLOG.md.","","R0 Foundation & Platform","1","Highest","blocker,monolith","Sprint 1"
"Story","P0-01 Capture the production schema as the real baseline","db/migrations was deleted and repo copies have drifted from production in BOTH directions (confirmed on v_seat_availability). Dump full DDL of operation_schemas read-only from prod; build every view from pg_get_viewdef, never from a repo .sql file. Emit db/baseline/schema_<date>.sql, inventory.json and REPORT.md listing which tables have a PK, which have any FK, and which have neither.","","R0 Foundation & Platform","3","Highest","schema,data","Sprint 1"
"Story","P0-02 Monorepo scaffold (pnpm workspace)","apps/api (Fastify + TS), apps/ops-web (Vite + React + TS), packages/contracts (zod + OpenAPI), packages/db, packages/pricing stub. strict TS, ESLint, Prettier, Vitest. pnpm dev runs api:3001 and web:5173. CI runs typecheck + lint + test.","","R0 Foundation & Platform","3","Highest","platform","Sprint 1"
"Story","P0-03 Fastify skeleton and cross-cutting concerns","Env config validated by zod at boot. pino logging with request id. One error envelope {error:{code,message,details,requestId}}. Request/response validation from packages/contracts. OpenAPI 3.1 at /docs. healthz and readyz. CORS allow-list, one origin per consumer class.","","R0 Foundation & Platform","3","Highest","api,platform","Sprint 1"
"Story","P0-04 AuthN/AuthZ for four consumer classes","Staff JWT with area permissions (operations, accounting, sales, fleet); B2C service token (availability read + booking create only); ERP service token (booking/pricing read, ledger write); agent token row-scoped to its own agent_id. Row scoping enforced in the query layer, not post-fetch. Agent A requesting agent B gets 404 not 403.","","R0 Foundation & Platform","5","Highest","api,security","Sprint 2"
"Story","P0-05 Migration tooling and CI database","Forward-only checksummed migration runner in packages/db. migrate up|status|new. No auto-down in production. CI spins throwaway Postgres, applies db/baseline then all migrations, runs tests. A tampered checksum fails the run.","","R0 Foundation & Platform","2","High","platform,data","Sprint 1"
"Story","P0-06 Characterization fixtures from production","The oracle for every Phase 1 parity test. Anonymized prod slice covering: multi-trip, charter, OVN pair, seat-locked (parent/sub/month), all 8 statuses, over-capacity pending (holds no seats) vs discount pending (holds seats), partial-cancelled, rescheduled, weather-resolved, B2C-owned with b2cOverride, legacy schemaVer!=2, and one with ops boat+van assigned. Coverage script fails if a status is unrepresented.","","R0 Foundation & Platform","5","Highest","testing,data","Sprint 2"
"Story","P0-07 ADR: the strangler bridge for booking","Evaluate (a) API source of truth with read-through adapter, (b) dual-write with reconciliation, (c) monolith booking view disabled. Recommended (c)+(a); reject (b) because a blob store and a relational store with no shared transaction will diverge. Specify the adapter contract and its deletion criteria.","","R0 Foundation & Platform","2","High","architecture,adr","Sprint 2"
